key,enabled,instrumentation_exist
SENSOR_SDK_DOTNET_OUTGOING_MESSAGING,true,true
SENSOR_ZAGENT_CICS_DB2,true,true
DOTNET_OPENTELEMETRY_TRACECONTEXTPROPAGATOR_ADDITION,true,false
SENSOR_PHP_MEMCACHED,true,true
JAVA_KAFKA_STREAMS,false,false
SENSOR_PHP_MSSQL,true,true
JAVA_CASP_SOFTWARE_COMPONENT_EXTRACTION_FORCIBLE,true,false
SENSOR_PHP_OPENTELEMETRY,false,false
SENSOR_NODEJS_POSTGRES,true,true
JAVA_AKKA_REMOTING,true,false
SENSOR_NODEJS_IOREDIS_FORCIBLE,true,true
SENSOR_NODEJS_CORE_PROMISE,true,true
SENSOR_NGINX_MODULE,true,true
JAVA_REACTOR3_CORE_TRACING,true,false
JAVA_JETTY_HANDLER_FORCIBLE,true,false
SENSOR_DOTNET_REMOTING_FORCIBLE,true,true
DOTNET_LOG_ENRICHMENT_UNSTRUCTURED,false,false
LOG_ENRICHMENT_METADATA,false,false
SENSOR_JAVA_GRPC,true,true
SENSOR_DOTNET_COSMOSDB,false,false
DOTNET_LOG_ENRICHMENT_LOG4NET,true,false
DOTNET_ASPNETCORE_UEM,false,false
SENSOR_JAVA_CASP_FLAW_FINDER,false,false
SENSOR_ZAGENT_IMS_ZOSCONNECT,true,true
SENSOR_WEBSERVER,true,true
ONEAGENT_CROSS_ENV_RESP_TAGGING,false,false
SENSOR_JAVA_AMQP,true,true
SENSOR_APACHE_QUEUINGTIME,true,true
SENSOR_NODEJS_COUCHBASE_FORCIBLE,true,true
JAVA_INSIGHTS_FOR_IBM_ESB_FORCIBLE,true,false
DOTNET_FSHARP_WORKFLOW,true,false
SENSOR_PHP_THREAD,true,true
DOTNET_HTTPTAGGING_HTTPLISTENER,true,false
SENSOR_APACHE_MODULE,true,true
JAVA_UEM_INSTRUMENTATION,false,false
SENSOR_NODEJS_TEDIOUS,true,true
AUTOSENSOR_CAPTURING,true,false
SENSOR_NODEJS_BIZEVENTS_HTTP_INCOMING,false,false
SENSOR_SDK_NODEJS_OUTGOING_REMOTE_CALL,true,true
SENSOR_SDK_JAVA_INCOMING_MESSAGING,true,true
SENSOR_ZAGENT_IMS_CR_MQ,true,true
JAVA_KAFKA,true,false
SENSOR_NODEJS_SQLITE3,true,true
SENSOR_DOTNET_OPENTELEMETRY,false,false
DOTNET_INSTRUMENTATION_CACHE_FORCIBLE,true,false
SENSOR_PHP_SOAP,true,true
SENSOR_DOTNET_MONGODB_FORCIBLE,true,true
NODE_JS_AMBIENT_SAMPLING_CAPTURING,false,false
DOTNET_CASP_SOFTWARE_COMPONENT_EXTRACTION_FORCIBLE,true,false
SENSOR_ZAGENT_CICS_DLI,true,true
IBM_MQ_TRACING_FEATURE_FORCIBLE,true,false
DOTNET_HTTPTAGGING_HTTPCLIENT,true,false
SENSOR_SDK_DOTNET_OUTGOING_REMOTE_CALL,true,true
SENSOR_PHP_LOG_ENRICHMENT,false,false
PHP_AUTOSENSOR_ALL_WORKERS,false,false
JAVA_AMBIENT_SAMPLING_THREAD_MONITORING,true,false
DOTNET_ASPNETCORE_SINGLE_TRACING_MIDDLEWARE_REGISRATION,true,false
SENSOR_PHP_RABBITMQ,false,false
PHP_GC_METRICS,true,false
SENSOR_JAVA_TIBCO,true,true
SENSOR_SDK_JAVA_CUSTOM_REQUEST_ATTRIBUTE,true,true
DOTNET_LOG_ENRICHMENT_MSEXTENSIONLOGGING,true,false
SENSOR_NODEJS_CORE_PROCESS,true,true
PHP_OPCACHE_METRICS,true,false
SENSOR_JAVA_THRIFT,true,true
SENSOR_ZAGENT_IMS_DB2,true,true
SENSOR_JAVA_METRICS,true,true
JAVA_AKKA_HTTP_CLIENT_FORCIBLE,true,false
